fiscal_year,entity_name,total_governmental_expenditures,public_protection_expenditures,public_protection_pct,probation_expenditures
2003,Sierra,14962549,3625133,24.23,241077
2003,Siskiyou,76141870,24158988,31.73,1319922
2003,Solano,453841768,144112960,31.75,19060177
2003,Sonoma,540663500,188969191,34.95,9248514
2003,Stanislaus,539105103,132598109,24.6,7628414
2003,Sutter,93790233,21936434,23.39,2475365
2003,Tehama,82320090,21551488,26.18,2578714
2003,Trinity,35730018,9948029,27.84,929415
2003,Tulare,475797765,113351454,23.82,7379517
2003,Tuolumne,74547003,23697255,31.79,2434806
2003,Ventura,731415858,293460170,40.12,14120159
2003,Yolo,173554783,50300402,28.98,3757099
2003,Yuba,96031420,29035032,30.23,3477192
2004,Alameda,1649739744,473388669,28.69,46046102
2004,Alpine,11766291,3556888,30.23,237514
2004,Amador,45069377,19349673,42.93,1650989
2004,Butte,281850805,77563949,27.52,6509853
2004,Calaveras,49760878,15680895,31.51,474821
2004,Colusa,31608372,10907906,34.51,905519
2004,Contra Costa,1118333550,313984754,28.08,22353355
2004,Del Norte,43285454,13580744,31.37,879969
2004,El Dorado,200747683,71982551,35.86,4487660
2004,Fresno,999758920,263481300,26.35,21601051
2004,Glenn,52498538,15001458,28.58,1496077
2004,Humboldt,186568153,46164848,24.74,4566570
2004,Imperial,194019419,50500744,26.03,3230296
2004,Inyo,48971193,19335912,39.48,951770
2004,Kern,907888395,309904863,34.13,19358335
2004,Kings,137172266,43525405,31.73,6282883
2004,Lake,88861296,27234921,30.65,1501866
2004,Lassen,49720658,15297496,30.77,935495
2004,Los Angeles,11296198268,3270351129,28.95,250097326
2004,Madera,128242327,40867236,31.87,3050464
2004,Marin,323643137,107062497,33.08,7975755
2004,Mariposa,37741893,12209022,32.35,883685
2004,Mendocino,161182413,37781789,23.44,3333254
2004,Merced,281120610,73609319,26.18,5168134
2004,Modoc,21365894,5275483,24.69,312503
2004,Mono,29506582,9151816,31.02,284940
2004,Monterey,473317773,142684809,30.15,11196389
2004,Napa,174506029,60561511,34.7,5561029
2004,Nevada,100550651,40428412,40.21,3025754
2004,Orange,2516292393,864000653,34.34,79257542
2004,Placer,304726783,108922672,35.74,11882044
2004,Plumas,46575325,12530197,26.9,1059768
2004,Riverside,1765134782,665000720,37.67,28049487
2004,Sacramento,2065167306,550401473,26.65,26458242
2004,San Benito,52757126,16278933,30.86,1334991
2004,San Bernardino,1901749513,524418493,27.58,38638938
2004,San Diego,2779719311,875454363,31.49,91049088
2004,San Francisco,5676261015,773332401,13.62,9245143
2004,San Joaquin,646882215,193863203,29.97,14359225
