year,county_name,fips,total_pop,total_pop_15to64,total_jail_pop,female_jail_pop,male_jail_pop,jail_rated_capacity,total_jail_pretrial,total_jail_sentenced,total_jail_adm,black_jail_pop,latinx_jail_pop,white_jail_pop,aapi_jail_pop,native_jail_pop,total_jail_pop_rate,total_prison_pop,female_prison_pop,male_prison_pop,black_prison_pop,latinx_prison_pop,white_prison_pop,aapi_prison_pop,native_prison_pop,total_prison_pop_rate,total_prison_adm,total_incarceration,total_incarceration_rate,fiscal_year_ending,total_governmental_expenditures,public_protection_expenditures,public_protection_pct_of_govt_expenditures,probation_expenditures,felony_probation,misdemeanor_probation,total_probation
2013,Imperial,06025,176128.0,113991.0,524.2,60.6,449.1,612.0,293.0,231.3,8310.0,23.8,397.0,54.5,1.8,12.1,459.9,341.0,9.0,332.0,29.0,255.0,45.0,,9.0,299.1,122.0,865.2,759.1,2013,278185756,81973917,29.47,8307570,2337,51,2388
2014,Imperial,06025,177531.0,114351.0,562.2,70.0,491.8,612.0,465.5,96.7,7866.0,24.8,446.1,66.4,2.5,10.8,491.7,346.0,14.0,332.0,30.0,255.0,48.0,,10.0,302.6,135.0,836.6,731.6,2014,282812685,85516962,30.24,8566723,2722,51,2773
2015,Imperial,06025,178370.0,114349.0,535.5,68.2,463.1,612.0,397.7,137.8,7270.0,22.7,409.1,76.4,3.6,7.9,468.3,372.0,13.0,359.0,37.0,267.0,56.0,,,325.3,139.0,546.4,477.8,2015,322610989,91700132,28.42,8053980,3000,51,3051
2016,Imperial,06025,179456.0,114543.0,488.2,52.9,432.3,610.1,255.3,232.9,5334.0,20.0,371.0,71.0,3.9,9.8,426.3,361.0,14.0,347.0,36.0,262.0,51.0,,8.0,315.2,134.0,526.9,460.0,2016,307045043,96545966,31.44,9334449,3167,51,3218
2017,Imperial,06025,180729.0,114991.0,477.2,55.0,432.7,602.6,281.0,336.8,5408.0,18.6,383.3,72.6,4.0,11.2,415.0,394.0,20.0,374.0,35.0,289.0,56.0,,,342.6,176.0,846.4,736.0,2017,385857615,103278957,26.77,10834635,3298,62,3360
2018,Imperial,06025,180429.0,114358.0,468.5,68.0,422.0,602.0,,468.5,6739.0,,,,,,409.7,436.0,18.0,418.0,43.0,329.0,50.0,,,381.3,217.0,904.5,790.9,2018,386952686,103957630,26.87,11423326,3467,74,3541
2019,Imperial,06025,179733.0,113457.0,375.2,,,602.0,,375.2,6851.0,,,,,,330.7,356.0,19.0,337.0,29.0,269.0,48.0,,,313.8,135.0,731.2,644.5,2019,385819280,98307840,25.48,10787384,1196,46,1242
2020,Imperial,06025,179595.0,113077.0,252.2,,,602.0,,252.2,6851.0,,,,,,223.1,,,,,,,,,,,,,2020,400455124,106441738,26.58,8480312,890,53,943
2021,Imperial,06025,179215.0,112864.0,222.8,,,602.0,,222.8,6851.0,,,,,,197.4,,,,,,,,,,,,,2021,419378280,105126179,25.07,8616263,568,156,724
2022,Imperial,06025,178713.0,112450.0,282.2,,,602.0,,282.2,6851.0,,,,,,251.0,,,,,,,,,,,,,2022,436903294,112568599,25.77,9633371,638,237,875
2023,Imperial,06025,178713.0,112450.0,366.0,,,602.0,,366.0,6851.0,,,,,,325.5,,,,,,,,,,,,,2023,493943271,120250787,24.35,10840126,622,403,1025
2000,Inyo,06027,17955.0,11030.0,58.4,11.4,47.0,96.0,25.8,32.6,997.0,0.7,9.5,29.2,,19.0,529.0,74.0,6.0,68.0,,,42.0,,16.0,670.9,72.0,129.9,1177.8,,,,,,,,
2001,Inyo,06027,18117.0,11179.0,48.8,7.5,37.7,96.0,21.5,27.2,1011.0,0.6,7.9,24.4,,15.9,436.1,70.0,6.0,64.0,,,43.0,,16.0,626.2,67.0,116.8,1044.9,,,,,,,,
2002,Inyo,06027,18394.0,11395.0,73.2,10.7,66.8,96.0,32.4,40.9,1167.0,0.9,11.9,36.6,,23.8,642.8,82.0,8.0,74.0,0.0,10.0,49.0,0.0,19.0,719.6,86.0,153.8,1349.8,,,,,,,,
2003,Inyo,06027,18593.0,11582.0,78.0,12.0,65.8,96.0,34.5,43.5,1159.0,0.9,12.7,39.0,,25.4,673.5,82.0,,,,,,,,708.0,71.0,159.1,1373.4,2003,45160731,16932088,37.49,1057259,507,565,1072
2004,Inyo,06027,18578.0,11555.0,78.0,14.6,63.4,96.0,34.5,43.5,1184.0,0.9,12.7,39.0,,25.4,675.0,83.0,5.0,78.0,,17.0,49.0,,,718.3,63.0,160.6,1389.5,2004,48971193,19335912,39.48,951770,555,687,1242
2005,Inyo,06027,18478.0,11643.0,88.8,18.4,69.8,96.0,33.7,55.0,1389.0,2.4,17.9,39.7,0.9,27.8,762.3,98.0,7.0,91.0,,21.0,49.0,,23.0,841.7,87.0,186.7,1603.7,2005,45032310,18382295,40.82,1057405,521,742,1263
2006,Inyo,06027,18370.0,11699.0,91.0,18.0,73.7,96.0,38.9,52.1,1739.0,3.0,18.1,41.1,1.0,28.8,777.8,107.0,7.0,100.0,,21.0,56.0,,22.0,914.6,84.0,197.2,1686.0,2006,47478787,18851293,39.7,1151896,608,848,1456
2007,Inyo,06027,18426.0,11744.0,83.2,16.3,68.4,96.0,40.8,42.4,1430.0,1.5,12.0,43.7,1.2,26.7,708.9,94.0,7.0,87.0,,17.0,52.0,,16.0,800.4,74.0,173.7,1478.9,2007,52554321,20887631,39.74,1274631,618,916,1534
2008,Inyo,06027,18318.0,11692.0,81.8,12.7,69.3,96.0,37.9,43.9,819.0,2.1,16.0,33.1,1.1,29.7,699.2,95.0,8.0,87.0,,14.0,52.0,,23.0,812.5,87.0,172.6,1475.9,2008,56803978,23651610,41.64,1271541,642,986,1628
2009,Inyo,06027,18544.0,11813.0,81.8,8.8,71.2,96.0,28.7,53.1,760.0,2.9,18.8,28.1,1.1,28.7,692.0,98.0,10.0,88.0,,11.0,52.0,,29.0,829.6,82.0,172.6,1461.3,2009,57181806,23308510,40.76,1362799,639,1016,1655
2010,Inyo,06027,18474.0,11795.0,69.2,8.3,57.5,96.0,22.9,46.3,826.0,2.3,11.6,23.9,1.0,26.6,587.1,73.0,5.0,68.0,,11.0,39.0,,18.0,618.9,50.0,140.9,1194.9,2010,55504625,22434339,40.42,1068119,634,1060,1694
2011,Inyo,06027,18433.0,11784.0,63.8,10.0,51.3,96.0,40.4,23.4,708.0,2.0,6.1,26.1,1.0,25.5,541.0,58.0,5.0,53.0,,7.0,29.0,,18.0,492.2,55.0,121.1,1027.9,2011,59990143,23328857,38.89,1223089,155,354,509
2012,Inyo,06027,18507.0,11747.0,68.2,10.8,57.0,96.0,30.2,38.1,947.0,1.9,6.4,37.1,1.5,20.1,581.0,46.0,4.0,42.0,,5.0,26.0,,12.0,391.6,6.0,111.8,951.8,2012,57005250,23176030,40.66,1336808,115,306,421
2013,Inyo,06027,18631.0,11682.0,71.8,9.1,62.4,96.0,15.3,56.5,876.0,1.6,8.4,36.9,2.0,22.0,614.2,48.0,,,,,,,,410.9,16.0,118.6,1015.5,2013,62795928,23431057,37.31,1428022,35,184,219
2014,Inyo,06027,18639.0,11594.0,66.8,10.9,55.1,96.0,24.8,41.9,809.0,1.6,9.3,29.9,1.9,22.6,575.7,48.0,4.0,44.0,,,21.0,,22.0,414.0,17.0,113.9,982.7,2014,62075868,24571857,39.58,1470815,123,74,197
2015,Inyo,06027,18662.0,11491.0,69.2,13.6,55.2,96.0,29.8,39.4,909.0,3.0,10.7,30.0,2.0,23.3,602.6,44.0,4.0,40.0,,,14.0,,23.0,382.9,14.0,113.2,985.0,2015,57785754,23219789,40.18,1339906,123,58,181
2016,Inyo,06027,18553.0,11346.0,61.0,8.4,48.8,96.0,24.7,36.3,977.0,3.0,5.4,27.7,1.7,19.2,537.6,44.0,5.0,39.0,,,16.0,,20.0,387.8,16.0,104.4,920.5,2016,62090292,24102781,38.82,1468201,180,129,309
2017,Inyo,06027,18535.0,11256.0,59.0,8.1,50.1,96.0,23.3,35.7,924.0,2.0,5.2,31.1,1.6,19.6,524.2,43.0,4.0,39.0,,,15.0,,22.0,382.0,15.0,99.8,886.2,2017,65007601,24470833,37.64,1432187,191,84,275
2018,Inyo,06027,18716.0,11255.0,52.2,6.7,44.8,96.0,21.5,30.7,911.0,1.6,8.6,25.8,,15.3,464.2,48.0,4.0,44.0,,,20.0,,22.0,426.5,21.0,100.1,889.0,2018,65208365,24523008,37.61,1474505,155,75,230
2019,Inyo,06027,18908.0,11300.0,46.0,3.7,37.8,96.0,16.6,37.7,805.0,1.8,9.2,19.4,,11.1,407.1,42.0,,,,,,,,371.7,17.0,88.0,778.8,2019,66096315,25109687,37.99,1481303,139,61,200
2020,Inyo,06027,19001.0,11264.0,39.5,,,96.0,,39.5,796.0,,,,,,350.7,,,,,,,,,,,,,2020,74021747,26548119,35.87,1387934,121,44,165
2021,Inyo,06027,18927.0,11143.0,51.2,,,96.0,,51.2,796.0,,,,,,459.9,,,,,,,,,,,,,2021,79308603,28199679,35.56,1338052,72,29,101
2022,Inyo,06027,18718.0,10974.0,54.4,,,96.0,,54.4,796.0,,,,,,495.5,,,,,,,,,,,,,2022,90130163,28523503,31.65,1445027,92,35,127
2023,Inyo,06027,18718.0,10974.0,54.8,,,96.0,,54.8,796.0,,,,,,498.9,,,,,,,,,,,,,2023,91632406,30667015,33.47,1642729,99,35,134
2024,Inyo,06027,18718.0,10974.0,64.0,,,96.0,,64.0,796.0,,,,,,583.2,,,,,,,,,,,,,2024,102441575,33673084,32.87,1918573,109,41,150
2000,Kern,06029,663803.0,424290.0,2049.5,443.9,1749.4,2687.5,1584.1,465.4,37732.0,288.1,877.2,909.9,104.8,7.4,483.0,5338.0,488.0,4850.0,1170.0,1918.0,2125.0,10.0,35.0,1258.1,4601.0,7335.0,1728.8,,,,,,,,
2001,Kern,06029,676574.0,435063.0,2187.0,476.0,1804.2,2697.1,1516.5,670.5,41756.0,293.2,1013.9,783.9,113.7,8.0,502.7,5368.0,450.0,4918.0,1191.0,2041.0,2011.0,11.0,37.0,1233.8,4756.0,7550.9,1735.6,,,,,,,,
2002,Kern,06029,694059.0,448642.0,2192.8,333.3,1910.2,2627.9,1420.6,772.2,38642.0,286.2,966.4,810.3,99.8,8.3,488.8,5621.0,450.0,5171.0,1248.0,2168.0,2056.0,15.0,43.0,1252.9,4826.0,7813.8,1741.6,,,,,,,,
2003,Kern,06029,714272.0,463630.0,2207.8,337.2,1886.8,2347.4,1495.9,711.9,41766.0,275.9,969.4,819.9,88.4,8.7,476.2,5531.0,444.0,5087.0,1188.0,2122.0,2101.0,7.0,43.0,1193.0,4181.0,7736.3,1668.6,2003,904572088,307062202,33.95,18992566,6375,787,7162
2004,Kern,06029,736296.0,479623.0,2185.5,308.0,1867.5,2324.0,1497.2,688.3,41857.0,270.6,967.6,794.2,76.0,9.0,455.7,5410.0,384.0,5026.0,1159.0,2134.0,1998.0,7.0,43.0,1128.0,4079.0,7585.8,1581.6,2004,907888395,309904863,34.13,19358335,6602,728,7330
2005,Kern,06029,760726.0,497617.0,2243.2,328.3,1911.5,2359.1,1589.7,653.5,41852.0,299.1,1055.5,763.7,62.5,10.0,450.8,5335.0,370.0,4965.0,1119.0,2184.0,1923.0,8.0,37.0,1072.1,4338.0,7571.5,1521.6,2005,965863559,329386642,34.1,20634015,7067,894,7961
2006,Kern,06029,784511.0,515491.0,2261.0,332.0,1940.5,2534.4,1630.0,631.0,41828.0,315.5,1093.1,716.8,51.7,10.6,438.6,5294.0,385.0,4909.0,1121.0,2190.0,1865.0,6.0,46.0,1027.0,4599.0,7519.6,1458.7,2006,1019331031,357294744,35.05,22424605,7223,853,8076
2007,Kern,06029,803281.0,529237.0,2298.2,313.6,1982.4,2686.3,1697.3,601.0,44075.0,351.8,1125.5,709.2,47.4,11.1,434.3,5096.0,357.0,4739.0,1076.0,2127.0,1764.0,8.0,41.0,962.9,4617.0,7321.8,1383.5,2007,1065031239,395125121,37.1,23603276,7575,659,8234
2008,Kern,06029,818327.0,539056.0,2297.0,332.4,1977.8,2698.0,1723.7,573.3,46842.0,362.0,1141.8,715.2,36.5,11.7,426.1,5089.0,404.0,4685.0,1090.0,2178.0,1704.0,10.0,34.0,944.1,4779.0,7266.0,1347.9,2008,1202186350,466003937,38.76,29647706,7563,468,8031
2009,Kern,06029,830137.0,547484.0,2282.0,298.6,1990.9,2698.0,1035.0,1247.0,45688.0,334.3,1183.5,695.4,25.4,9.3,416.8,4974.0,362.0,4612.0,1076.0,2169.0,1616.0,10.0,31.0,908.5,4717.0,7014.8,1281.3,2009,1225531352,464711841,37.92,30427051,6910,453,7363
2010,Kern,06029,841552.0,555515.0,2328.8,271.8,2064.0,2698.0,398.0,1930.8,46017.0,340.7,1243.5,685.1,20.7,6.7,419.2,4895.0,330.0,4565.0,1056.0,2142.0,1578.0,15.0,42.0,881.2,4448.0,6628.8,1193.3,2010,1221862570,443436497,36.29,28401313,6150,0,6150
2011,Kern,06029,849642.0,560960.0,2392.2,281.9,2118.9,2698.0,1095.5,1296.7,40606.0,355.5,1230.8,751.8,21.6,6.6,426.5,4401.0,262.0,4139.0,959.0,1956.0,1382.0,12.0,37.0,784.5,3698.0,6656.2,1186.6,2011,1240231313,459888731,37.08,31356892,7719,0,7719
2012,Kern,06029,856155.0,562506.0,2584.8,300.3,2287.4,2732.1,1832.8,752.0,41882.0,373.0,1280.8,874.0,23.6,6.8,459.5,3766.0,158.0,3608.0,861.0,1700.0,1103.0,15.0,31.0,669.5,1299.0,6220.4,1105.8,2012,1222980013,468240544,38.29,32434924,7577,0,7577
2013,Kern,06029,865281.0,566717.0,2609.5,315.9,2272.1,2863.8,1756.0,853.5,42706.0,361.0,1287.3,920.4,34.3,7.5,460.5,4022.0,177.0,3845.0,909.0,1837.0,1157.0,20.0,37.0,709.7,1577.0,6140.2,1083.5,2013,1259358223,504681669,40.07,36373262,7693,0,7693
2014,Kern,06029,873139.0,571234.0,2567.2,368.5,2204.3,2853.8,1674.6,892.6,42685.0,378.5,1210.5,907.0,54.6,9.0,449.4,3872.0,170.0,3702.0,858.0,1813.0,1104.0,16.0,29.0,677.8,1437.0,6398.3,1120.1,2014,1373927307,543961543,39.59,38343501,8129,0,8129
2015,Kern,06029,880641.0,575562.0,2355.8,330.6,1984.2,2775.8,1441.4,914.3,35617.0,365.7,1056.0,812.5,50.9,7.7,409.3,3758.0,166.0,3592.0,814.0,1838.0,1021.0,13.0,22.0,652.9,1419.0,6113.8,1062.2,2015,1342545699,556615342,41.46,39140016,7218,0,7218
2016,Kern,06029,885943.0,577859.0,2231.0,282.0,1894.0,2567.2,1520.0,711.0,34571.0,337.7,1026.1,756.3,28.7,7.4,386.1,3823.0,193.0,3630.0,827.0,1865.0,1040.0,19.0,22.0,661.6,1387.0,5690.4,984.7,2016,1406437064,587789657,41.79,42650754,7127,0,7127
2017,Kern,06029,892891.0,580952.0,2114.0,276.4,1824.1,2963.0,1685.3,428.7,33192.0,344.6,1008.1,718.2,15.4,9.1,363.9,3806.0,173.0,3633.0,799.0,1881.0,1038.0,15.0,27.0,655.1,1315.0,4465.8,768.7,2017,1517953282,550686638,36.28,43449500,7296,0,7296
2018,Kern,06029,899999.0,584614.0,1971.2,247.0,1697.5,3434.5,1643.6,327.6,30512.0,350.9,949.0,614.3,13.9,7.3,337.2,3814.0,174.0,3640.0,810.0,1909.0,997.0,17.0,31.0,652.4,1341.0,5664.1,968.9,2018,1540151448,560210753,36.37,43954961,7404,0,7404
2019,Kern,06029,906103.0,587470.0,1911.8,228.4,1669.1,2709.0,1647.6,264.2,29568.0,355.6,960.1,542.2,16.1,3.6,325.4,3847.0,176.0,3671.0,808.0,1958.0,994.0,15.0,28.0,654.8,1441.0,5758.8,980.3,2019,1548329505,575257922,37.15,42276528,7706,0,7706
2020,Kern,06029,905828.0,585038.0,1765.2,198.4,1621.4,1937.2,1658.8,142.0,24254.0,350.3,925.9,506.6,12.6,3.2,301.7,,,,,,,,,,,,,2020,1713001145,574650913,33.55,49902176,7466,0,7466
2021,Kern,06029,912351.0,591046.0,1704.8,172.1,1518.2,1855.1,1616.7,88.1,21612.0,341.6,865.5,453.5,9.7,3.6,288.4,,,,,,,,,,,,,2021,1747002756,552337385,31.62,44648016,6965,0,6965
2022,Kern,06029,916108.0,594186.0,1670.2,164.9,1506.8,1783.4,1576.4,93.9,21192.0,351.5,865.8,424.9,8.6,4.1,281.1,,,,,,,,,,,,,2022,1843822093,626893548,34.0,90034220,6888,0,6888
2023,Kern,06029,916108.0,594186.0,1616.5,150.6,1449.4,1840.6,1470.2,881.4,24121.0,340.8,828.2,405.2,5.0,5.0,272.1,,,,,,,,,,,,,2023,2103939683,690284527,32.81,56362428,6999,0,6999
2024,Kern,06029,916108.0,594186.0,1633.0,,,1846.0,,1633.0,24372.0,,,,,,274.8,,,,,,,,,,,,,2024,2313233543,750217447,32.43,61564050,6755,0,6755
2000,Kings,06031,129835.0,88565.0,390.5,45.5,336.3,298.8,187.1,203.4,6572.0,39.4,201.4,123.1,2.1,15.5,440.9,1020.0,103.0,917.0,175.0,510.0,290.0,,25.0,1151.7,817.0,1404.4,1585.8,,,,,,,,
2001,Kings,06031,132881.0,91098.0,306.5,37.7,257.0,318.5,191.2,115.3,5853.0,30.8,167.5,77.6,4.3,14.6,336.4,994.0,92.0,902.0,170.0,499.0,282.0,,25.0,1091.1,760.0,1296.4,1423.1,,,,,,,,
2002,Kings,06031,135369.0,92972.0,308.5,43.7,252.1,320.0,224.6,83.9,2782.0,38.7,150.5,85.0,8.2,13.4,331.8,1120.0,97.0,1023.0,178.0,575.0,308.0,,38.0,1204.7,904.0,1425.0,1532.7,,,,,,,,
2003,Kings,06031,139393.0,96034.0,299.8,41.6,257.7,320.0,202.3,97.5,6854.0,35.5,147.4,96.6,9.9,10.4,312.1,1197.0,135.0,1062.0,180.0,611.0,332.0,,41.0,1246.4,888.0,1483.4,1544.7,2003,135795955,40976344,30.17,6244910,734,1582,2316
2004,Kings,06031,143601.0,99516.0,285.5,40.3,241.7,320.0,195.9,89.6,3315.0,32.1,150.1,81.2,8.9,7.1,286.9,1244.0,141.0,1103.0,187.0,653.0,332.0,,37.0,1250.0,860.0,1526.2,1533.6,2004,137172266,43525405,31.73,6282883,750,1583,2333
2005,Kings,06031,145147.0,100476.0,307.0,44.4,256.1,323.8,214.3,92.7,8941.0,38.3,158.2,84.7,9.3,5.3,305.5,1258.0,129.0,1129.0,207.0,645.0,329.0,4.0,45.0,1252.0,952.0,1564.3,1556.9,2005,158454006,47372475,29.9,6920719,768,3710,4478
2006,Kings,06031,147712.0,102559.0,289.5,45.6,244.9,343.1,193.5,96.0,8765.0,34.1,155.6,78.2,8.8,5.0,282.3,1393.0,136.0,1257.0,194.0,768.0,354.0,,42.0,1358.2,1095.0,1679.7,1637.8,2006,172021048,51513437,29.95,7405878,835,4283,5118
2007,Kings,06031,150420.0,104410.0,341.5,57.6,302.6,359.7,259.1,82.4,7776.0,53.9,180.8,99.7,10.8,9.3,327.1,1383.0,133.0,1250.0,217.0,743.0,339.0,,49.0,1324.6,1086.0,1718.2,1645.6,2007,169144073,58948678,34.85,7895318,1255,3463,4718
2008,Kings,06031,152027.0,105265.0,357.5,56.8,302.7,361.0,278.7,78.8,8054.0,59.2,168.1,104.9,10.0,14.9,339.6,1390.0,118.0,1272.0,232.0,743.0,350.0,,34.0,1320.5,1108.0,1736.9,1650.0,2008,177741648,60188006,33.86,8076447,1163,3380,4543
2009,Kings,06031,152278.0,104926.0,356.5,59.8,294.2,361.0,279.2,77.3,8557.0,56.2,175.7,99.4,9.3,12.0,339.8,1503.0,123.0,1380.0,244.0,810.0,372.0,,40.0,1432.4,1135.0,1856.4,1769.3,2009,186145923,63645788,34.19,7711043,1418,2495,3913
2010,Kings,06031,152332.0,104581.0,355.0,59.8,294.7,361.0,245.4,109.6,8515.0,58.1,190.5,88.1,7.9,7.7,339.4,1556.0,142.0,1414.0,252.0,825.0,399.0,4.0,38.0,1487.8,1117.0,1910.8,1827.1,2010,184865685,61796764,33.43,7905140,1609,2517,4126
2011,Kings,06031,151744.0,103833.0,368.0,55.3,313.9,361.0,217.3,150.7,10299.0,56.3,212.1,83.3,5.6,9.9,354.4,1416.0,96.0,1320.0,234.0,756.0,347.0,6.0,43.0,1363.7,888.0,1784.0,1718.1,2011,186724804,60553527,32.43,8239607,1800,2647,4447
2012,Kings,06031,150829.0,103047.0,485.8,76.2,416.5,401.3,286.8,198.9,8354.0,71.8,289.9,109.7,5.8,13.4,471.4,1299.0,67.0,1232.0,221.0,690.0,313.0,6.0,41.0,1260.6,429.0,1783.8,1731.1,2012,180967549,60435436,33.4,6336428,2114,2415,4529
2013,Kings,06031,150151.0,102076.0,536.5,93.2,443.3,572.7,310.6,225.9,8460.0,79.0,325.4,132.2,6.4,12.8,525.6,1390.0,101.0,1289.0,229.0,765.0,326.0,4.0,38.0,1361.7,528.0,1922.8,1883.6,2013,189311156,64713571,34.18,7001971,2012,1975,3987
2014,Kings,06031,149255.0,100987.0,594.5,94.7,501.3,616.5,384.6,209.9,7211.0,82.8,343.2,139.0,9.2,17.8,588.7,1279.0,86.0,1193.0,211.0,708.0,294.0,6.0,35.0,1266.5,444.0,1871.5,1853.2,2014,198913637,69458795,34.92,8031181,2200,1914,4114
2015,Kings,06031,149831.0,101148.0,506.8,70.2,422.1,579.4,340.0,166.7,6928.0,64.5,293.1,103.2,9.1,18.3,501.0,1097.0,56.0,1041.0,184.0,622.0,232.0,8.0,31.0,1084.5,352.0,1587.1,1569.0,2015,224669014,72505622,32.27,8786907,2257,1780,4037
2016,Kings,06031,149102.0,100464.0,453.5,67.1,379.9,582.9,297.7,155.8,6443.0,51.2,269.9,99.6,5.7,17.2,451.4,1155.0,55.0,1100.0,180.0,662.0,241.0,11.0,42.0,1149.7,411.0,1561.8,1554.6,2016,243599118,75541419,31.01,8952003,1467,1927,3394
2017,Kings,06031,149307.0,100094.0,470.8,79.2,399.5,615.2,321.8,148.9,6058.0,54.9,280.4,113.8,4.5,24.2,470.3,1120.0,68.0,1052.0,181.0,646.0,228.0,9.0,35.0,1119.0,393.0,1558.2,1556.7,2017,246748316,80964068,32.81,9212417,1289,2024,3313
2018,Kings,06031,150972.0,100920.0,537.5,91.4,461.8,635.5,378.1,159.4,6087.0,57.0,333.4,129.5,6.4,25.5,532.6,1045.0,66.0,979.0,152.0,621.0,214.0,7.0,32.0,1035.5,327.0,1554.3,1540.1,2018,256431501,82401250,32.13,9168332,1568,2094,3662
2019,Kings,06031,152443.0,101789.0,586.2,79.0,515.3,637.0,392.2,194.0,6127.0,65.4,368.4,131.2,5.0,22.4,575.9,1023.0,58.0,965.0,153.0,624.0,196.0,7.0,29.0,1005.0,367.0,1563.8,1536.3,2019,257907698,89378209,34.66,9018321,1515,1952,3467
2020,Kings,06031,152790.0,101986.0,494.8,52.9,451.8,637.0,353.4,141.3,5494.0,69.3,314.1,95.4,4.2,18.1,485.1,,,,,,,,,,,,,2020,278251158,92465368,33.23,9198232,1402,1917,3319
2021,Kings,06031,152679.0,101894.0,469.8,53.5,412.7,637.0,363.9,105.8,4706.0,63.8,289.5,86.7,7.5,16.4,461.0,,,,,,,,,,,,,2021,301910520,96343594,31.91,9346336,1400,1281,2681
2022,Kings,06031,152981.0,102363.0,435.0,50.6,391.2,637.0,243.5,191.5,4378.0,67.7,264.0,83.9,7.1,16.8,425.0,,,,,,,,,,,,,2022,334668103,101730280,30.4,11936989,1182,982,2164
2023,Kings,06031,152981.0,102363.0,449.5,48.7,423.8,637.0,138.3,380.3,4632.0,80.9,275.7,88.7,5.8,17.5,439.1,,,,,,,,,,,,,2023,362651898,108894292,30.03,11242309,1223,797,2020
2024,Kings,06031,152981.0,102363.0,359.0,,,637.0,,359.0,4655.0,,,,,,350.7,,,,,,,,,,,,,2024,373721187,112430247,30.08,11903570,1246,766,2012
2000,Lake,06033,58538.0,35696.0,224.2,35.9,179.1,245.7,114.8,109.5,4873.0,15.8,25.4,164.8,1.6,16.7,628.2,413.0,26.0,387.0,34.0,52.0,298.0,,25.0,1157.0,341.0,629.6,1763.7,,,,,,,,
2001,Lake,06033,60219.0,37251.0,198.2,29.3,157.9,252.5,101.5,96.8,4850.0,13.9,22.5,145.7,1.4,14.7,532.2,424.0,29.0,395.0,36.0,50.0,303.0,0.0,31.0,1138.2,297.0,613.1,1645.8,,,,,,,,
2002,Lake,06033,61513.0,38539.0,200.2,33.2,167.0,259.4,102.5,97.8,4945.0,14.1,22.7,147.1,1.4,14.9,519.6,458.0,26.0,432.0,39.0,62.0,319.0,,33.0,1188.4,340.0,647.6,1680.3,,,,,,,,
2003,Lake,06033,62496.0,39610.0,212.2,36.8,178.7,266.2,108.6,103.6,5120.0,14.9,24.1,156.0,1.5,15.8,535.9,495.0,31.0,464.0,36.0,61.0,354.0,0.0,39.0,1249.7,345.0,695.1,1754.8,2003,88334116,26671700,30.19,1653022,368,31,399
2004,Lake,06033,63116.0,40551.0,256.5,46.6,209.1,273.0,131.3,125.2,5301.0,18.0,29.1,188.5,1.9,19.1,632.5,519.0,33.0,486.0,41.0,64.0,366.0,0.0,42.0,1279.9,369.0,761.8,1878.7,2004,88861296,27234921,30.65,1501866,452,31,483
2005,Lake,06033,63811.0,41455.0,265.2,53.2,211.0,278.6,144.9,120.3,6541.0,19.3,29.7,195.5,2.3,17.9,639.9,542.0,45.0,497.0,42.0,78.0,380.0,0.0,37.0,1307.4,431.0,792.7,1912.2,2005,91397279,29031462,31.76,1714925,519,31,550
2006,Lake,06033,64202.0,42070.0,294.0,53.8,237.9,280.3,145.0,149.0,9633.0,22.4,39.8,208.3,2.7,18.1,698.8,563.0,51.0,512.0,42.0,71.0,400.0,,43.0,1338.2,424.0,846.3,2011.7,2006,96555172,30792280,31.89,1706163,571,31,602
2007,Lake,06033,64077.0,42031.0,257.8,43.3,213.7,285.6,126.8,130.9,5064.0,20.1,39.8,181.5,2.1,13.8,613.2,554.0,54.0,500.0,45.0,70.0,382.0,,50.0,1318.1,429.0,810.9,1929.4,2007,108704855,33698849,31.0,2048205,642,6,648
2008,Lake,06033,64392.0,42112.0,233.2,41.6,195.2,284.1,139.7,93.5,5278.0,15.7,39.0,163.8,2.0,15.9,553.9,496.0,33.0,463.0,45.0,85.0,317.0,,42.0,1177.8,367.0,727.8,1728.1,2008,115247631,35610778,30.9,2187310,625,5,630
2009,Lake,06033,64413.0,42000.0,230.2,39.0,191.5,276.6,131.3,98.9,4472.0,15.6,41.3,154.2,2.1,15.8,548.2,440.0,28.0,412.0,44.0,68.0,282.0,,37.0,1047.6,326.0,662.9,1578.4,2009,119192427,34982912,29.35,2171901,466,0,466
2010,Lake,06033,64771.0,42198.0,216.8,34.9,181.8,276.9,108.4,108.3,4320.0,16.2,39.0,146.3,2.5,11.4,513.6,402.0,21.0,381.0,45.0,52.0,263.0,0.0,34.0,952.6,338.0,609.8,1445.1,2010,116711571,33876789,29.03,2191065,467,0,467
2011,Lake,06033,64652.0,41958.0,244.0,39.7,204.1,281.6,112.7,131.3,4149.0,16.5,44.4,163.0,3.5,14.6,581.5,355.0,12.0,343.0,38.0,50.0,235.0,0.0,27.0,846.1,241.0,580.8,1384.1,2011,113050106,33225101,29.39,2182678,631,0,631
2012,Lake,06033,64719.0,41394.0,296.5,48.3,250.0,285.7,139.4,157.1,3645.0,19.1,54.9,198.8,4.6,19.0,716.3,315.0,9.0,306.0,34.0,44.0,199.0,0.0,33.0,761.0,104.0,589.4,1424.0,2012,111597871,32520493,29.14,2758987,580,0,580
